2021/09/22 14:24:35 [error] 81742#0: *3711 directory index of "/Users/linchuzhong/Documents/pro/nextjs/" is forbidden, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET / HTTP/1.1", host: "openedu-next.61qt.cn"
2021/09/22 14:24:36 [error] 81742#0: *3711 open() "/Users/linchuzhong/Documents/pro/nextjs/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /favicon.ico HTTP/1.1", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/"
2021/09/24 10:54:09 [error] 82092#0: *5221 upstream prematurely closed connection while reading upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://[::1]:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:14 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://127.0.0.1:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:14 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://[::1]:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:19 [error] 82092#0: *5223 no live upstreams while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://localhost/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:24 [error] 82092#0: *5223 no live upstreams while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://localhost/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:29 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://[::1]:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:29 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://127.0.0.1:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:34 [error] 82092#0: *5223 no live upstreams while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://localhost/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:39 [error] 82092#0: *5223 no live upstreams while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://localhost/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:44 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://[::1]:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:44 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://127.0.0.1:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:49 [error] 82092#0: *5223 no live upstreams while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://localhost/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:54 [error] 82092#0: *5223 no live upstreams while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://localhost/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:59 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://[::1]:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
2021/09/24 10:54:59 [error] 82092#0: *5223 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: openedu-next.61qt.cn, request: "GET /_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D HTTP/1.1", upstream: "http://127.0.0.1:3000/_next/webpack-hmr?page=%2Fbloks%2F%5Bid%5D", host: "openedu-next.61qt.cn", referrer: "http://openedu-next.61qt.cn/bloks/pre-rendering"
